symbol_id,universal_site_symbol,site_symbol,timestamp,quarter,report_date, report_time, consensus_est._eps_($)_(s), analyst, adjusted_actuals_eps_($), low, high, thomson_reuters_starmine_smartestimate_($)_, company_reported_gaap_eps_($), _reported_eps_($)
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2020, 07/28/20, --, 2.07, 28 Analysts, --, --, 1.27 ,  2.78, --, --, --
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2020, 04/30/20, --, 2.26, 29 Analysts, --, --, 1.52 ,  2.73, 2.10, --, --
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2020, 01/28/20, --, 4.55, 34 Analysts, 4.99, +0.44, 4.37 ,  4.83, 4.55, 4.99, 4.99
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2019, 10/30/19, --, 2.84, 35 Analysts, 3.03, +0.19, 2.72 ,  2.95, 2.85, 3.03, 3.03
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2019, 07/30/19, --, 2.10, 36 Analysts, 2.18, +0.08, 1.79 ,  2.20, 2.12, 2.18, 2.18
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2019, 04/30/19, --, 2.36, 32 Analysts, 2.46, +0.10, 2.12 ,  2.49, 2.39, 2.46, 2.46
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2019, 01/29/19, --, 4.17, 33 Analysts, 4.18, +0.01, 4.13 ,  4.27, 4.17, 4.18, 4.18
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2018, 11/01/18, --, 2.78, 34 Analysts, 2.91, +0.13, 2.65 ,  2.90, 2.81, 2.91, 2.91
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2018, 07/31/18, --, 2.18, 31 Analysts, 2.34, +0.16, 2.10 ,  2.28, 2.20, 2.34, 2.34
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2018, 05/01/18, --, 2.67, 33 Analysts, 2.73, +0.06, 2.51 ,  2.80, 2.68, 2.73, 2.73
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2018, 02/01/18, --, 3.86, 29 Analysts, 3.89, +0.03, 3.68 ,  4.12, 3.92, 3.89, 3.89
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2017, 11/02/17, --, 1.87, 31 Analysts, 2.07, +0.20, 1.79 ,  2.01, 1.87, 2.07, 2.07
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2017, 08/01/17, --, 1.57, 38 Analysts, 1.67, +0.10, 1.50 ,  1.64, --, 1.67, 1.67
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2017, 05/02/17, --, 2.02, 37 Analysts, 2.10, +0.08, 1.91 ,  2.14, 2.04, 2.10, 2.10
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2017, 01/31/17, --, 3.21, 37 Analysts, 3.36, +0.15, 3.11 ,  3.77, 3.21, 3.36, 3.36
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2016, 10/25/16, --, 1.66, 37 Analysts, 1.67, +0.01, 1.58 ,  1.73, 1.66, 1.67, 1.67
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2016, 07/26/16, --, 1.38, 38 Analysts, 1.42, +0.04, 1.23 ,  1.47, 1.39, 1.42, 1.42
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2016, 04/26/16, --, 2.00, 36 Analysts, 1.90, -0.10, 1.88 ,  2.17, 1.99, 1.90, 1.90
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2016, 01/26/16, --, 3.23, 39 Analysts, 3.28, +0.05, 2.83 ,  3.44, 3.22, 3.28, 3.28
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2015, 10/27/15, --, 1.88, 42 Analysts, 1.96, +0.08, 1.75 ,  2.02, 1.91, 1.96, 1.96
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2015, 07/21/15, --, 1.81, 39 Analysts, 1.85, +0.04, 1.65 ,  2.05, 1.83, 1.85, 1.85
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2015, 04/27/15, --, 2.16, 41 Analysts, 2.33, +0.17, 1.89 ,  2.43, 2.17, 2.33, 2.33
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2015, 01/27/15, --, 2.60, 43 Analysts, 3.06, +0.46, 2.44 ,  2.97, 2.69, 3.06, 3.06
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2014, 10/20/14, --, 1.30, 41 Analysts, 1.42, +0.12, 1.21 ,  1.47, 1.31, 1.42, 1.42
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2014, 07/22/14, --, 1.23, 45 Analysts, 1.28, +0.05, 0.16 ,  0.20, 1.26, 1.28, 1.28
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2014, 04/23/14, --, 1.46, 46 Analysts, 1.66, +0.20, 1.38 ,  1.53, 1.48, 1.66, 1.66
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2014, 01/27/14, --, 2.01, 45 Analysts, 2.07, +0.06, 1.93 ,  2.18, 2.03, 2.07, 2.07
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2013, 10/28/13, --, 1.14, 47 Analysts, 1.18, +0.04, 1.03 ,  1.21, 1.14, 1.18, 1.18
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2013, 07/23/13, --, 1.05, 48 Analysts, 1.07, +0.02, 0.95 ,  1.17, 1.05, 1.07, 1.07
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2013, 04/23/13, --, 1.43, 48 Analysts, 1.44, +0.01, 1.32 ,  1.71, 1.42, 1.44, 1.44
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2013, 01/23/13, --, 1.92, 48 Analysts, 1.97, +0.05, 1.71 ,  2.21, 1.95, 1.97, 1.97
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2012, 10/25/12, --, 1.25, 47 Analysts, 1.24, -0.01, 1.14 ,  1.38, 1.25, 1.24, 1.24
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2012, 07/24/12, --, 1.48, 44 Analysts, 1.33, -0.15, 1.35 ,  1.79, 1.49, 1.33, 1.33
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2012, 04/24/12, --, 1.43, 45 Analysts, 1.76, +0.33, 1.21 ,  1.69, 1.50, 1.76, 12.30
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2012, 01/24/12, --, 1.45, 48 Analysts, 1.98, +0.53, 1.27 ,  1.64, 1.50, 1.98, 13.87
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2011, 10/18/11, --, 1.06, 46 Analysts, 1.01, -0.05, 0.87 ,  1.22, 1.07, 1.01, 7.05
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2011, 07/19/11, --, 0.83, 50 Analysts, 1.11, +0.28, 0.72 ,  0.95, 0.87, 1.11, 7.79
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2011, 04/20/11, --, 0.77, 48 Analysts, 0.91, +0.14, 0.69 ,  0.85, 0.78, 0.91, 6.40
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q1 2011, 01/18/11, --, 0.77, 47 Analysts, 0.92, +0.15, 0.70 ,  0.86, 0.79, 0.92, 6.43
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q4 2010, 10/18/10, --, 4.08, 45 Analysts, 4.64, +0.56, 3.43 ,  4.48, 0.60, 0.66, 4.64
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q3 2010, 07/20/10, --, 3.12, 41 Analysts, 3.51, +0.39, 2.65 ,  3.47, 0.46, 0.50, 3.51
343, US_XNAS_AAPL, AAPL, 2020-04-29-14-47, Q2 2010, 04/20/10, --, 2.45, 37 Analysts, 3.33, +0.88, 1.93 ,  2.72, 0.36, 0.48, 3.33